xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
------------NEW OBJECT CREATED------------------
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16/05/2022 05:49:08 PM - Connection established
16/05/2022 05:49:10 PM - Collection Dropped
16/05/2022 05:49:10 PM - Database Dropped
16/05/2022 05:49:10 PM - Connection Closed
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
------------NEW OBJECT CREATED------------------
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16/05/2022 05:50:32 PM - record 323 inserted 
16/05/2022 05:50:32 PM - record 324 inserted 
16/05/2022 05:50:32 PM - record 325 inserted 
16/05/2022 05:50:32 PM - record 326 inserted 
16/05/2022 05:50:32 PM - record 327 inserted 
16/05/2022 05:50:32 PM - record 328 inserted 
16/05/2022 05:50:33 PM - record 329 inserted 
16/05/2022 05:50:33 PM - record 330 inserted 
16/05/2022 05:50:33 PM - record 331 inserted 
16/05/2022 05:50:33 PM - record 332 inserted 
16/05/2022 05:50:33 PM - record 333 inserted 
16/05/2022 05:50:33 PM - record 334 inserted 
16/05/2022 05:50:33 PM - record 335 inserted 
16/05/2022 05:50:33 PM - record 336 inserted 
16/05/2022 05:50:34 PM - record 337 inserted 
16/05/2022 05:50:34 PM - record 338 inserted 
16/05/2022 05:50:34 PM - record 339 inserted 
16/05/2022 05:50:34 PM - record 340 inserted 
16/05/2022 05:50:34 PM - record 341 inserted 
16/05/2022 05:50:34 PM - record 342 inserted 
16/05/2022 05:50:34 PM - record 343 inserted 
16/05/2022 05:50:34 PM - record 344 inserted 
16/05/2022 05:50:35 PM - record 345 inserted 
16/05/2022 05:50:35 PM - record 346 inserted 
16/05/2022 05:50:35 PM - record 347 inserted 
16/05/2022 05:50:35 PM - record 348 inserted 
16/05/2022 05:50:35 PM - record 349 inserted 
16/05/2022 05:50:35 PM - record 350 inserted 
16/05/2022 05:50:35 PM - record 351 inserted 
16/05/2022 05:50:35 PM - record 352 inserted 
16/05/2022 05:50:36 PM - record 353 inserted 
16/05/2022 05:50:36 PM - record 354 inserted 
16/05/2022 05:50:36 PM - record 355 inserted 
16/05/2022 05:50:36 PM - record 356 inserted 
16/05/2022 05:50:36 PM - record 357 inserted 
16/05/2022 05:50:36 PM - record 358 inserted 
16/05/2022 05:50:36 PM - record 359 inserted 
16/05/2022 05:50:36 PM - record 360 inserted 
16/05/2022 05:50:36 PM - record 361 inserted 
16/05/2022 05:50:37 PM - record 362 inserted 
16/05/2022 05:50:37 PM - record 363 inserted 
16/05/2022 05:50:37 PM - record 364 inserted 
16/05/2022 05:50:37 PM - record 365 inserted 
16/05/2022 05:50:37 PM - record 366 inserted 
16/05/2022 05:50:37 PM - record 367 inserted 
16/05/2022 05:50:37 PM - record 368 inserted 
16/05/2022 05:50:37 PM - record 369 inserted 
16/05/2022 05:50:38 PM - record 370 inserted 
16/05/2022 05:50:38 PM - record 371 inserted 
16/05/2022 05:50:38 PM - record 372 inserted 
16/05/2022 05:50:38 PM - record 373 inserted 
16/05/2022 05:50:38 PM - record 374 inserted 
16/05/2022 05:50:38 PM - record 375 inserted 
16/05/2022 05:50:38 PM - record 376 inserted 
16/05/2022 05:50:38 PM - record 377 inserted 
16/05/2022 05:50:39 PM - record 378 inserted 
16/05/2022 05:50:39 PM - record 379 inserted 
16/05/2022 05:50:39 PM - record 380 inserted 
16/05/2022 05:50:39 PM - record 381 inserted 
16/05/2022 05:50:39 PM - record 382 inserted 
16/05/2022 05:50:39 PM - record 383 inserted 
16/05/2022 05:50:39 PM - record 384 inserted 
16/05/2022 05:50:39 PM - record 385 inserted 
16/05/2022 05:50:40 PM - record 386 inserted 
16/05/2022 05:50:40 PM - record 387 inserted 
16/05/2022 05:50:40 PM - record 388 inserted 
16/05/2022 05:50:40 PM - record 389 inserted 
16/05/2022 05:50:40 PM - record 390 inserted 
16/05/2022 05:50:40 PM - record 391 inserted 
16/05/2022 05:50:40 PM - record 392 inserted 
16/05/2022 05:50:40 PM - record 393 inserted 
16/05/2022 05:50:41 PM - record 394 inserted 
16/05/2022 05:50:41 PM - record 395 inserted 
16/05/2022 05:50:41 PM - record 396 inserted 
16/05/2022 05:50:41 PM - record 397 inserted 
16/05/2022 05:50:41 PM - record 398 inserted 
16/05/2022 05:50:41 PM - record 399 inserted 
16/05/2022 05:50:42 PM - record 400 inserted 
16/05/2022 05:50:42 PM - record 401 inserted 
16/05/2022 05:50:42 PM - record 402 inserted 
16/05/2022 05:50:42 PM - record 403 inserted 
16/05/2022 05:50:42 PM - record 404 inserted 
16/05/2022 05:50:42 PM - record 405 inserted 
16/05/2022 05:50:42 PM - record 406 inserted 
16/05/2022 05:50:43 PM - record 407 inserted 
16/05/2022 05:50:43 PM - record 408 inserted 
16/05/2022 05:50:43 PM - record 409 inserted 
16/05/2022 05:50:43 PM - record 410 inserted 
16/05/2022 05:50:43 PM - record 411 inserted 
16/05/2022 05:50:43 PM - record 412 inserted 
16/05/2022 05:50:43 PM - record 413 inserted 
16/05/2022 05:50:43 PM - record 414 inserted 
16/05/2022 05:50:43 PM - record 415 inserted 
16/05/2022 05:50:44 PM - record 416 inserted 
16/05/2022 05:50:44 PM - record 417 inserted 
16/05/2022 05:50:44 PM - record 418 inserted 
16/05/2022 05:50:44 PM - record 419 inserted 
16/05/2022 05:50:44 PM - record 420 inserted 
16/05/2022 05:50:44 PM - record 421 inserted 
16/05/2022 05:50:44 PM - record 422 inserted 
16/05/2022 05:50:44 PM - record 423 inserted 
16/05/2022 05:50:45 PM - record 424 inserted 
16/05/2022 05:50:45 PM - record 425 inserted 
16/05/2022 05:50:45 PM - record 426 inserted 
16/05/2022 05:50:45 PM - record 427 inserted 
16/05/2022 05:50:45 PM - record 428 inserted 
16/05/2022 05:50:45 PM - record 429 inserted 
16/05/2022 05:50:45 PM - record 430 inserted 
16/05/2022 05:50:45 PM - record 431 inserted 
16/05/2022 05:50:46 PM - record 432 inserted 
16/05/2022 05:50:46 PM - record 433 inserted 
16/05/2022 05:50:46 PM - record 434 inserted 
16/05/2022 05:50:46 PM - record 435 inserted 
16/05/2022 05:50:46 PM - record 436 inserted 
16/05/2022 05:50:46 PM - record 437 inserted 
16/05/2022 05:50:46 PM - record 438 inserted 
16/05/2022 05:50:47 PM - record 439 inserted 
16/05/2022 05:50:47 PM - record 440 inserted 
16/05/2022 05:50:47 PM - record 441 inserted 
16/05/2022 05:50:47 PM - record 442 inserted 
16/05/2022 05:50:47 PM - record 443 inserted 
16/05/2022 05:50:47 PM - record 444 inserted 
16/05/2022 05:50:47 PM - record 445 inserted 
16/05/2022 05:50:47 PM - record 446 inserted 
16/05/2022 05:50:47 PM - record 447 inserted 
16/05/2022 05:50:48 PM - record 448 inserted 
16/05/2022 05:50:48 PM - record 449 inserted 
16/05/2022 05:50:48 PM - record 450 inserted 
16/05/2022 05:50:48 PM - record 451 inserted 
16/05/2022 05:50:48 PM - record 452 inserted 
16/05/2022 05:50:48 PM - record 453 inserted 
16/05/2022 05:50:48 PM - record 454 inserted 
16/05/2022 05:50:49 PM - record 455 inserted 
16/05/2022 05:50:49 PM - record 456 inserted 
16/05/2022 05:50:49 PM - record 457 inserted 
16/05/2022 05:50:49 PM - record 458 inserted 
16/05/2022 05:50:49 PM - record 459 inserted 
16/05/2022 05:50:49 PM - record 460 inserted 
16/05/2022 05:50:49 PM - record 461 inserted 
16/05/2022 05:50:49 PM - record 462 inserted 
16/05/2022 05:50:49 PM - record 463 inserted 
16/05/2022 05:50:50 PM - record 464 inserted 
16/05/2022 05:50:50 PM - record 465 inserted 
16/05/2022 05:50:50 PM - record 466 inserted 
16/05/2022 05:50:50 PM - record 467 inserted 
16/05/2022 05:50:50 PM - record 468 inserted 
16/05/2022 05:50:50 PM - record 469 inserted 
16/05/2022 05:50:50 PM - record 470 inserted 
16/05/2022 05:50:50 PM - record 471 inserted 
16/05/2022 05:50:50 PM - record 472 inserted 
16/05/2022 05:50:51 PM - record 473 inserted 
16/05/2022 05:50:51 PM - record 474 inserted 
